Viz,Source,Dimensionality,FormatofPC,Secondary,Layout,Layout Details,Orientation
Slicing Floorplan,thumbs100png/Stockmeyer1983.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
SmartTree,thumbs100png/Husken2007.png,2D,Node-link,,Indented,,
Space-optimized Tree,thumbs100png/Nguyen2002.png,2D,Node-link,,"Special: Basically balloon.
The position of each child node is calculated using ""contained"" methods",,
Space-Reclaiming Icicle Plot,thumbs100png/Wetering2020.png,2D,Node-link,,Linear,,
SpaceTree,thumbs100png/Plaisant2002.png,2D,Node-link,,Linear,,Top-down
Spatially Ordered Treemap,thumbs100png/Wood2008.png,2D,Contained,Tightly nested,Shape-based,Rectangle,Left-right
SphereTree,thumbs100png/Brath2012.png,3D,Contained,,Shape-based,Sphere,
Spherical Caps,thumbs100png/Dmitrieva2009.png,3D,Contained,Loosely packed,Special: Shape-based Contrained+Projection,Circle+Sphere,
Spherical Layout,thumbs100png/Larrea2007.png,3D,Node-link,,Shape-based,,
Spiral Steptree,thumbs100png/Schulz2011_8.png,3D,Adjacent,Adjoined by a side / stacked,Shape-based,Spiral,
Spring-Embedder Models,thumbs100png/Lin2007b.png,2D,Node-link,,Angle-based,Force-directed,
Square Sector Construction,thumbs100png/Bertin1967_3.png,2D,Node-link,,Special: Square sector (Radial),,
Squarified Treemap,thumbs100png/Bruls2000.png,2D,Contained,,Shape-based,,
Stable Treemap,thumbs100png/Sondag2018.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Stacked Hemispheres,thumbs100png/Ukrop2011.png,3D,Contained,Loosely packed,Shape-based,Hemisphere,
Stacked Tree,thumbs100png/Bisson2012.png,2D,Node-link,,Linear,,
StackTree Layout,thumbs100png/Miller2011.png,2D,Node-link,,Angle-based,StackTree,Top-dowm
StepTree,thumbs100png/Bladh2004.png,3D,Contained,Tightly nested,Shape-based,Rectangle,
Stereogram,thumbs100png/Bertin1967_2.png,3D,Contained,Loosely packed,Shape-based,Rectangle,
Strata Treemap,thumbs100png/Choi2011.png,3D,Contained,Tightly nested,Shape-based,Cylinder,
Street Layout,thumbs100png/Kratt2011.png,2D,Overlap,,Angle-based,Geo,
